Model,Train_MSE,Val_MSE,Test_MSE,Train_MAPE,Val_MAPE,Test_MAPE
Linear Regression (Numerical Only),4607.419540555648,5403.539898101477,5259.972351159866,0.16963162975549545,0.18195377073800528,0.17160050995849468
Linear Regression (Numerical + Scaling),4607.4195405556475,5403.539898101476,5259.972351159866,0.16963162975549545,0.18195377073800528,0.17160050995849466
Linear Regression (Numerical + Scaling + One-Hot Encoding),4188.616898365976,4783.083799662552,4630.912174859594,0.14375361002026374,0.14252452606405197,0.14609441429959627
